room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4583433,23758536,Private room,,Chelsea,2,,2,1.0,68.0,1.0,-36.822625,174.714412,2016-08-19 18:44:25.111355
12517634,64869205,Private room,,Freemans Bay,8,4.5,2,1.0,53.0,1.0,-36.849254,174.751392,2016-08-19 19:43:57.979265
9262617,48118317,Private room,,Grey Lynn East,0,,1,1.0,150.0,1.0,-36.860534,174.747496,2016-08-19 18:36:21.774635
9699967,50090701,Private room,,Freemans Bay,1,,2,1.0,53.0,1.0,-36.849748,174.751641,2016-08-19 18:37:12.013814
10686513,43731148,Private room,,Grey Lynn East,3,4.5,2,1.0,38.0,1.0,-36.860599,174.751196,2016-08-19 18:28:39.941182
3891668,9068627,Private room,,Ponsonby West,23,5.0,2,1.0,67.0,1.0,-36.84962,174.73261,2016-08-19 18:50:50.286147
4633181,23993246,Private room,,Grey Lynn East,7,4.5,2,1.0,48.0,2.0,-36.858169,174.746003,2016-08-19 19:35:58.255069
12919265,70829144,Private room,,Durham Green,0,,2,1.0,60.0,1.0,-36.837017,174.659821,2016-08-19 18:52:07.110213
666957,3373634,Private room,,Birkenhead East,0,,1,1.0,60.0,1.0,-36.816383,174.732042,2016-08-19 18:38:25.124455
9430281,45755761,Private room,,Durham Green,3,5.0,3,1.0,30.0,5.0,-36.835089,174.659704,2016-08-19 18:21:35.340671
12192915,65534529,Private room,,Herne Bay,0,,2,1.0,112.0,1.0,-36.8431,174.735053,2016-08-19 18:41:35.903072
4106470,1902125,Private room,,Surrey Crescent,80,5.0,2,1.0,60.0,1.0,-36.862855,174.727742,2016-08-19 19:48:09.857374
6886514,36085790,Private room,,St Marys,2,,2,1.0,37.0,1.0,-36.846558,174.750637,2016-08-19 18:09:35.436738
9575418,34067625,Private room,,Newton,5,5.0,1,1.0,41.0,1.0,-36.860842,174.759551,2016-08-19 18:13:47.131466
6415685,33464215,Private room,,Chelsea,0,,1,1.0,53.0,3.0,-36.82078,174.712988,2016-08-19 19:38:34.373912
14114956,53492835,Private room,,Epsom North,0,,3,1.0,53.0,1.0,-36.867899,174.77131,2016-08-19 19:52:54.817803
14225567,83636676,Private room,,Hillsborough West,0,,1,1.0,29.0,1.0,-36.925044,174.750707,2016-08-19 18:53:17.726873
11258771,58759404,Private room,,Epsom North,2,,2,1.0,59.0,1.0,-36.881402,174.770655,2016-08-19 18:44:55.209271
4425791,2720938,Private room,,One Tree Hill Central,4,5.0,2,1.0,53.0,3.0,-36.903598,174.788911,2016-08-19 19:21:36.071434
14242080,86647885,Private room,,Hillsborough West,0,,2,1.0,52.0,1.0,-36.912597,174.757925,2016-08-19 18:14:20.163556
10909384,56525679,Private room,,One Tree Hill East,0,,1,1.0,30.0,1.0,-36.90103,174.793275,2016-08-19 18:41:16.758993
7663314,38311913,Private room,,Remuera West,46,5.0,2,1.0,71.0,2.0,-36.869855,174.783027,2016-08-19 18:58:02.190141
11682170,30183967,Private room,,Balmoral,1,,1,1.0,45.0,2.0,-36.878124,174.75536,2016-08-19 19:09:55.373183
1087558,5978198,Private room,,Mangere Bridge,181,5.0,2,1.0,74.0,1.0,-36.945762,174.783106,2016-08-19 19:01:58.880856
5229897,6920503,Private room,,Mt Eden South,2,,2,1.0,53.0,4.0,-36.89532,174.75459,2016-08-19 18:41:26.275456
12953898,70062523,Private room,,Balmoral,0,,2,1.0,34.0,2.0,-36.883982,174.749055,2016-08-19 18:25:02.725269
5774775,29240419,Private room,,Maungawhau,1,,2,1.0,119.0,2.0,-36.887576,174.747922,2016-08-19 18:31:10.533869
13606970,78738238,Private room,,Balmoral,0,,1,1.0,34.0,,-36.88649,174.747407,2016-08-19 19:14:25.690517
8314570,12404396,Private room,,Kingsland,1,,2,1.0,60.0,1.0,-36.874042,174.7478,2016-08-19 18:27:15.401707
896568,4781145,Private room,,Mt Albert Central,91,5.0,2,1.0,60.0,1.0,-36.881766,174.72258,2016-08-19 19:05:07.911422
11279539,8732506,Private room,,Epsom South,1,,1,1.0,30.0,3.0,-36.89442,174.772158,2016-08-19 19:01:39.942805
305536,1571651,Private room,,Freemans Bay,21,4.5,7,1.0,165.0,2.0,-36.852259,174.749736,2016-08-19 19:16:05.403492
13157116,73455846,Private room,,Westmere,2,,2,1.0,64.0,1.0,-36.860268,174.725298,2016-08-19 18:51:12.038075
13580640,66400115,Private room,,Freemans Bay,1,,2,1.0,45.0,1.0,-36.851596,174.750074,2016-08-19 18:39:22.311874
10388958,8506168,Private room,,Herne Bay,1,,2,1.0,94.0,1.0,-36.84591,174.729612,2016-08-19 18:36:27.682446
